Direction: Producer
Component: seda

| Attribute | Default | Specification |
|-----------|---------|----------------|
| waitForTaskToComplete | IfReplyExpected | Never |
| bridgeErrorHandler | false |  |
| concurrentConsumers | 1 |  |
| defaultBlockWhenFull | false |  |
| defaultDiscardWhenFull | false |  |
| defaultOfferTimeout |  |  |
| lazyStartProducer | false |  |
| basicPropertyBinding | false |  |
| defaultQueueFactory |  |  |
| queueSize | 1000 |  |
| size | 1000 |  |
| exceptionHandler |  |  |
| exchangePattern |  |  |
| limitConcurrentConsumers | true |  |
| multipleConsumers | false |  |
| pollTimeout | 1000 |  |
| purgeWhenStopping | false |  |
| blockWhenFull | false |  |
| discardIfNoConsumers | false |  |
| discardWhenFull | false |  |
| failIfNoConsumers | false |  |
| offerTimeout |  |  |
| timeout | 30000 |  |
| queue |  |  |
| synchronous | false |  |
